manufacturer,unit_model,model_type,unit_serial_number,gps_datetime,gps_latitude,gps_longitude,local_date,daily_actual_work_value
KOMATSU,PC200,8M0,C12738,2019-01-10T01:00:00+07:00,2.760366,99.957967,2019-01-09,205.0
KOMATSU,PC200,8M0,C12737,2019-01-10T01:31:27+07:00,0.323633,115.963832,2019-01-09,0.0
KOMATSU,PC200,8M0,C12726,2018-11-16T01:02:27+07:00,-1.418366,101.291166,2018-11-15,0.0
KOMATSU,PC200,8M0,C12725,2019-01-10T01:39:28+07:00,2.176133,99.514699,2019-01-09,372.0
KOMATSU,PC200,8M0,C12724,2019-01-10T01:49:29+07:00,4.964366,96.832566,2019-01-09,369.0
KOMATSU,PC200,8M0,C12723,2019-01-10T01:48:26+07:00,-2.563133,120.335499,2019-01-09,248.0
KOMATSU,PC200,8M0,C12720,2019-01-03T16:07:17+07:00,4.9733,96.833567,2019-01-09,370.0
KOMATSU,PC200,8M0,C12719,2019-01-10T01:27:00+07:00,4.966966,96.825533,2019-01-09,305.0
KOMATSU,PC200,8M0,C12718,2018-11-18T12:30:35+07:00,4.972566,96.834933,2018-09-28,0.0
KOMATSU,PC200,8M0,C12717,2019-01-10T01:32:28+07:00,-4.098567,138.950732,2019-01-09,0.0
KOMATSU,PC200,8M0,C12716,2019-01-10T01:49:16+07:00,-4.886466,139.560599,2019-01-09,270.0
KOMATSU,PC200,8M0,C12715,2019-01-10T01:08:27+07:00,-2.561099,120.343166,2019-01-09,141.0
KOMATSU,PC200,8M0,C12714,2019-01-10T01:26:29+07:00,2.854867,117.403266,2019-01-09,553.0
KOMATSU,PC200,8M0,C12713,2016-11-08T01:19:54+07:00,-0.708966,127.841866,2016-11-07,241.0
KOMATSU,PC200,8M0,C12712,2015-10-06T01:07:41+07:00,0.269699,127.723066,2015-10-05,405.0
KOMATSU,PC200,8M0,C12711,2019-01-08T17:15:40+07:00,1.476199,124.902666,2019-01-08,5.0
KOMATSU,PC200,8M0,C12710,2019-01-09T01:12:29+07:00,-2.470533,110.679733,2019-01-08,0.0
KOMATSU,PC200,8M0,C12708,2019-01-10T01:21:00+07:00,-2.975233,103.9276,2019-01-09,0.0
KOMATSU,PC200,8M0,C12707,2019-01-10T01:26:29+07:00,-2.919299,129.7994,2019-01-09,0.0
KOMATSU,PC200,8M0,C12706,2019-01-10T01:43:29+07:00,-2.919366,129.7994,2019-01-09,0.0
KOMATSU,PC200,8M0,C12705,2019-01-10T02:18:29+08:00,0.854733,110.658599,2019-01-09,0.0
KOMATSU,PC200,8M0,C12700,2019-01-10T01:42:29+07:00,1.524733,124.929766,2019-01-09,455.0
KOMATSU,PC200,8M0,C12699,2018-07-30T05:27:01+07:00,0.767833,127.353599,2018-09-02,51.0
KOMATSU,PC200,8M0,C12698,2019-01-10T01:41:00+07:00,2.062632,127.8159,2019-01-09,472.0
KOMATSU,PC200,8M0,C12693,2018-02-15T01:41:18+07:00,-4.161366,122.777399,2018-02-14,17.0
KOMATSU,PC200,8M0,C12692,2018-12-29T15:39:47+07:00,-3.992666,122.532533,2018-12-29,7.0
KOMATSU,PC200,8M0,C12691,2019-01-10T02:17:24+08:00,-7.505566,109.032299,2019-01-09,422.0
KOMATSU,PC200,8M0,C12690,2018-07-18T01:50:23+07:00,0.555933,121.237433,2018-07-17,323.0
KOMATSU,PC200,8M0,C12689,2019-01-10T01:55:29+07:00,-2.941799,119.936099,2019-01-09,1.0
KOMATSU,PC200,8M0,C12687,2019-01-10T01:40:02+07:00,-3.294799,116.006833,2019-01-09,95.0
KOMATSU,PC200,8M0,C12686,2019-01-10T01:20:00+07:00,2.158633,117.399466,2019-01-09,318.0
KOMATSU,PC200,8M0,C12685,2018-08-25T01:32:24+07:00,-1.9927,115.154532,2018-08-24,0.0
KOMATSU,PC200,8M0,C12684,2019-01-09T01:44:00+07:00,-6.465833,106.936833,2019-01-08,800.0
KOMATSU,PC200,8M0,C12683,2019-01-10T01:05:30+07:00,-3.743333,128.183866,2019-01-09,0.0
KOMATSU,PC200,8M0,C12682,2018-05-22T01:38:21+07:00,-2.770666,108.227266,2018-05-21,451.0
KOMATSU,PC200,8M0,C12681,2019-01-10T01:09:29+07:00,-3.732566,103.720333,2019-01-09,0.0
KOMATSU,PC200,8M0,C12680,2017-09-28T10:00:21+07:00,-3.285599,116.065333,2017-09-27,286.0
KOMATSU,PC200,8M0,C12679,2019-01-10T01:46:29+07:00,-2.942066,103.998966,2019-01-09,21.0
KOMATSU,PC200,8M0,C12667,2019-01-10T01:17:30+07:00,-3.0721,104.6057,2019-01-09,241.0
KOMATSU,PC200,8M0,C12666,2019-01-10T01:19:30+07:00,-6.797299,107.969099,2019-01-09,0.0
KOMATSU,PC200,8M0,C12665,2019-01-09T01:09:56+07:00,-6.648433,108.000599,2019-01-08,1153.0
KOMATSU,PC200,8M0,C12664,2019-01-10T01:15:29+07:00,-6.794633,107.955499,2019-01-09,564.0
KOMATSU,PC200,8M0,C12663,2019-01-10T01:28:29+07:00,-6.190966,106.591533,2019-01-09,16.0
KOMATSU,PC200,8M0,C12662,2019-01-10T01:41:29+07:00,-7.037199,107.604233,2019-01-09,255.0
KOMATSU,PC200,8M0,C12661,2019-01-10T01:05:29+07:00,-3.51,103.345233,2019-01-09,174.0
KOMATSU,PC200,8M0,C12660,2019-01-09T01:09:30+07:00,-2.910299,103.934867,2019-01-08,76.0
KOMATSU,PC200,8M0,C12659,2017-07-20T01:55:03+07:00,-8.760166,116.849966,2017-07-19,9.0
KOMATSU,PC200,8M0,C12651,2019-01-09T01:05:30+07:00,-6.307333,106.973567,2019-01-08,7.0
KOMATSU,PC200,8M0,C12650,2019-01-10T01:45:00+07:00,0.135666,101.320132,2019-01-09,0.0
KOMATSU,PC200,8M0,C12649,2019-01-10T01:49:30+07:00,-3.282833,101.678033,2019-01-09,157.0
KOMATSU,PC200,8M0,C12648,2016-06-01T01:35:47+07:00,0.877466,110.3408,2016-05-31,514.0
KOMATSU,PC200,8M0,C12647,2019-01-05T17:42:24+07:00,-7.557032,112.480533,2019-01-04,0.0
KOMATSU,PC200,8M0,C12646,2019-01-08T01:00:29+07:00,-3.712299,128.0984,2019-01-07,0.0
KOMATSU,PC200,8M0,C12645,2019-01-10T02:12:24+07:00,-5.017233,132.721667,2019-01-09,0.0
KOMATSU,PC200,8M0,C12644,2019-01-10T01:34:29+07:00,-3.368466,129.966533,2019-01-09,0.0
KOMATSU,PC200,8M0,C12643,2018-12-03T01:48:28+07:00,-6.791166,111.665766,2018-12-02,0.0
KOMATSU,PC200,8M0,C12641,2017-08-26T01:45:03+07:00,-3.903832,115.018866,2017-08-25,274.0
KOMATSU,PC200,8M0,C12640,2019-01-10T01:04:30+07:00,0.157333,117.272533,2019-01-09,0.0
KOMATSU,PC200,8M0,C12639,2019-01-10T01:31:00+07:00,-3.681799,138.5963,2019-01-09,384.0
