manufacturer,unit_model,model_type,unit_serial_number,gps_datetime,gps_latitude,gps_longitude,comm_setting_group,comm_setting_group_id,comm_setting_group_td,db_group,db_group_id,db_group_country,customer,customer_id,customer_code,customer_country
KOMATSU,WA500,6R,60140,2019-01-10T01:27:00+07:00,2.164566,117.412,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,MAJAU INTI JAYA,306652.0,12066,ID
KOMATSU,WA500,6R,60139,2019-01-09T00:39:00+07:00,-3.751166,115.4684,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,MITRA JASA SEBAMBAN,483999.0,37465,ID
KOMATSU,WA500,6R,60138,2019-01-10T00:50:00+07:00,-3.751199,115.4683,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,MITRA JASA SEBAMBAN UTAM,448618.0,35324,ID
KOMATSU,WA500,6R,60137,2019-01-09T02:37:00+08:00,-0.841099,115.5301,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,PAMAPERSADA NUSANTARA,300710.0,10611,ID
KOMATSU,WA500,6R,60132,2019-01-10T01:13:00+07:00,-3.736266,115.654033,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,MITRA JASA SEBAMBAN UTAM,448618.0,35324,ID
KOMATSU,WA500,6R,60131,2019-01-06T01:06:00+07:00,-0.586067,114.791966,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,MARUNDA GRAHA MINERAL,479639.0,25936,ID
KOMATSU,WA500,6R,60125,2019-01-08T15:42:00+07:00,-3.736332,115.654333,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,MITRA JASA SEBAMBAN UTAM,448618.0,35324,ID
KOMATSU,WA500,6R,60124,2019-01-10T01:02:00+07:00,-3.737066,115.655633,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,MITRA JASA SEBAMBAN UTAM,448618.0,35324,ID
KOMATSU,WA500,6R,60122,2019-01-07T17:34:00+08:00,-1.056833,114.684199,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,PAMAPERSADA NUSANTARA,300710.0,10611,ID
KOMATSU,WA500,6R,60121,2019-01-10T02:24:00+08:00,-1.057967,114.684633,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,PAMAPERSADA NUSANTARA,300710.0,10611,ID
KOMATSU,WA500,6R,60119,2019-01-10T02:36:00+08:00,-2.108533,114.870433,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,PAMAPERSADA NUSANTARA,300710.0,10611,ID
KOMATSU,WA500,6R,60118,2019-01-10T02:38:00+08:00,2.040766,117.448866,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,SAPTAINDRA SEJATI,301673.0,20174,ID
KOMATSU,WA500,6R,60117,2019-01-10T02:04:00+08:00,-2.363932,115.581332,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,SAPTAINDRA SEJATI,301673.0,20174,ID
KOMATSU,WA500,6R,60116,2019-01-10T02:17:00+08:00,-1.216633,114.806533,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,PAMAPERSADA NUSANTARA,300710.0,10611,ID
KOMATSU,WA500,6R,60115,2018-09-22T02:16:00+08:00,1.916466,117.291199,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,PAMAPERSADA NUSANTARA,300710.0,10611,ID
KOMATSU,WA500,6R,60111,2019-01-10T02:42:00+08:00,-1.053066,114.681933,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,PAMAPERSADA NUSANTARA,300710.0,10611,ID
KOMATSU,WA500,6R,60110,2019-01-10T02:10:00+08:00,-0.990433,114.3902,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,PAMAPERSADA NUSANTARA,300710.0,10611,ID
KOMATSU,WA500,3A,53181,2018-12-15T01:28:00+07:00,-3.045333,104.206667,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,ENERGATE PRIMA INDONESIA,395257.0,32530,ID
KOMATSU,WA500,3A,53114,2019-01-10T01:41:00+07:00,-1.122999,114.487199,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,SATRIA ALAM MANUNGGAL,312427.0,26093,ID
KOMATSU,WA500,3A,53113,2018-11-23T08:39:00+08:00,-0.977166,114.381099,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,PAMAPERSADA NUSANTARA,300710.0,10611,ID
KOMATSU,WA500,3A,53112,2013-09-20T08:45:00+07:00,-6.185499,106.9309,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,THO WAJO PRATAMA MANDIRI,384157.0,32062,ID
KOMATSU,WA500,3A,53108,2018-01-21T01:49:00+08:00,-2.227367,114.950732,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,SENAMAS ENERGINDO MINERA,310935.0,26395,ID
KOMATSU,WA500,3A,53107,2019-01-10T02:28:00+08:00,-0.308033,117.040166,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,MAHAKAM SUMBER JAYA,302984.0,13380,ID
KOMATSU,WA500,3A,53106,2017-07-31T00:35:00+07:00,-3.085132,115.107333,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,ANDHIKA JAYA PERKASA,329898.0,29087,ID
