manufacturer,unit_model,model_type,unit_serial_number,gps_datetime,gps_latitude,gps_longitude,abnormality_code,abnormality_name,local_datetime,abnormality_smr,abnomrmality_onmonitor,abnormality_onmonitor_id,abnormality_action_level,abnormality_type,abnormality_type_id
KOMATSU,PC200,8M0,C12512,2019-01-10T01:31:30+07:00,-6.030833,105.968166,DHSDMA,BUCKET DUMP PPC PRESSURE SENSOR + DEFECTIVE FUNCTION,2019-01-09T10:46:43+07:00,180543.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC200,8M0,C12512,2019-01-10T01:31:30+07:00,-6.030833,105.968166,DHSCMA,ARM DUMP PPC PRESSURE SENSOR + DEFECTIVE FUNCTION,2019-01-09T21:03:09+07:00,180579.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC200,8M0,C12512,2019-01-10T01:31:30+07:00,-6.030833,105.968166,DHSCMA,ARM DUMP PPC PRESSURE SENSOR + DEFECTIVE FUNCTION,2019-01-09T10:46:38+07:00,180542.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC200,8M0,C12512,2019-01-10T01:31:30+07:00,-6.030833,105.968166,DHSBMA,SWING LEFT PPC PRESSURE SENSOR + DEFECTIVE FUNCTION,2019-01-09T23:45:16+07:00,180579.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC200,8M0,C12512,2019-01-10T01:31:30+07:00,-6.030833,105.968166,DHSBMA,SWING LEFT PPC PRESSURE SENSOR + DEFECTIVE FUNCTION,2019-01-09T10:46:43+07:00,180543.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC200,8M0,C12512,2019-01-10T01:31:30+07:00,-6.030833,105.968166,DHSAMA,SWING RIGHT PPC PRESSURE SENSOR + DEFECTIVE FUNCTION,2019-01-09T23:56:07+07:00,180579.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC200,8M0,C12512,2019-01-10T01:31:30+07:00,-6.030833,105.968166,DHSAMA,SWING RIGHT PPC PRESSURE SENSOR + DEFECTIVE FUNCTION,2019-01-09T10:46:43+07:00,180543.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC200,8M0,C12512,2019-01-10T01:31:30+07:00,-6.030833,105.968166,DHS9MA,BOOM DOWN PPC PRESSURE SENSOR + DEFECTIVE FUNCTION,2019-01-09T23:45:15+07:00,180579.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC200,8M0,C12512,2019-01-10T01:31:30+07:00,-6.030833,105.968166,DHS9MA,BOOM DOWN PPC PRESSURE SENSOR + DEFECTIVE FUNCTION,2019-01-09T10:46:43+07:00,180543.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC200,8M0,C12512,2019-01-10T01:31:30+07:00,-6.030833,105.968166,DHS8MA,BOOM UP PPC PRESSURE SENSOR + DEFECTIVE FUNCTION,2019-01-09T23:56:07+07:00,180579.0,Yes,1.0,L01,Electrical,0.0
