manufacturer,unit_model,model_type,unit_serial_number,gps_datetime,gps_latitude,gps_longitude,local_date,daily_smr_value,daily_smr_map
KOMATSU,PC200,8M0,C20285,2019-01-10T01:02:30+07:00,0.317666,115.540966,2019-01-09,159.0,00000000ffc0000000000000
KOMATSU,PC200,8M0,C20284,2019-01-09T01:12:30+07:00,0.308266,115.571733,2019-01-08,8.0,000000000000000000000000
KOMATSU,PC200,8M0,C20283,2019-01-10T01:37:30+07:00,-1.939366,104.168633,2019-01-09,369.0,0000000000401ff81000ffe0
KOMATSU,PC200,8M0,C20279,2019-01-09T03:09:30+09:00,-5.108099,119.505766,2019-01-07,8.0,000000000000000000000000
KOMATSU,PC200,8M0,C20278,2019-01-10T01:14:30+07:00,-3.286233,122.282933,2018-12-31,0.0,000000000000000000000000
KOMATSU,PC200,8M0,C20277,2018-07-24T01:26:24+07:00,-3.929833,122.138599,2018-07-23,477.0,0000000fcfe03ffffc000000
KOMATSU,PC200,8M0,C20276,2019-01-09T08:12:56+08:00,-5.1777,122.0089,2019-01-08,587.0,0000001fff007fff0fff0000
KOMATSU,PC200,8M0,C20275,2019-01-10T02:11:30+08:00,-5.1807,122.011432,2019-01-09,810.0,0000007ffffbfffff87fc000
KOMATSU,PC200,8M0,C20274,2019-01-10T01:07:00+07:00,-3.185033,119.9201,2019-01-09,441.0,0000003ffff07ff000000000
KOMATSU,PC200,8M0,C20273,2019-01-10T01:08:30+07:00,0.648066,117.460132,2019-01-09,724.0,00000001fffcfffe0007fffe
KOMATSU,PC200,8M0,C20272,2019-01-10T01:07:00+07:00,3.085732,116.4557,2019-01-09,991.0,ffbf1803fff07ffff07fffc0
KOMATSU,PC200,8M0,C20271,2019-01-10T01:15:30+07:00,3.086099,116.447833,2019-01-09,772.0,1f80787ffff11ffe607f0000
KOMATSU,PC200,8M0,C20270,2019-01-10T01:10:30+07:00,0.642632,117.442233,2019-01-09,1056.0,ff8f7007fff87ffc0017ffff
KOMATSU,PC200,8M0,C20269,2019-01-10T01:07:00+07:00,1.073733,117.677866,2019-01-09,957.0,0000000ffff07ffffdfffffd
KOMATSU,PC200,8M0,C20268,2019-01-10T01:08:00+07:00,3.082967,116.448433,2019-01-09,1018.0,3ffde4ffffff87f7f81fefc0
KOMATSU,PC200,8M0,C20266,2019-01-10T02:08:00+08:00,1.064,117.690266,2019-01-09,923.0,03e000feffff1ffff803fffc
KOMATSU,PC200,8M0,C20265,2019-01-10T02:08:00+08:00,-0.229532,117.130633,2019-01-09,971.0,fff800ffffe0ff7fc7cfe701
KOMATSU,PC200,8M0,C20264,2019-01-10T01:08:00+07:00,3.085966,116.455633,2019-01-09,465.0,0ffc10000f000000003fffe0
KOMATSU,PC200,8M0,C20263,2019-01-10T01:14:00+07:00,3.089033,116.445,2019-01-09,682.0,00000001fff707fff80fffe0
KOMATSU,PC200,8M0,C20262,2019-01-09T21:08:36+08:00,-1.987133,115.870233,2019-01-08,1022.0,e07e001ffff81fe00007fffe
KOMATSU,PC200,8M0,C20261,2019-01-10T02:07:30+08:00,-2.217266,115.515633,2019-01-09,965.0,07e00007fff0ffff83ffffff
KOMATSU,PC200,8M0,C20260,2019-01-10T01:41:00+07:00,-0.980966,114.354566,2019-01-09,1181.0,fe7f71f7ffff1ff9f1ffffff
KOMATSU,PC200,8M0,C20259,2019-01-10T02:14:00+08:00,0.678099,117.4688,2019-01-09,1038.0,fff020fffffe0feff0fffff0
KOMATSU,PC200,8M0,C20258,2019-01-10T02:05:00+08:00,-2.216466,115.499333,2019-01-09,874.0,efe00003fffbc01fee067fff
KOMATSU,PC200,8M0,C20256,2019-01-10T01:17:30+07:00,1.935966,117.3057,2019-01-09,446.0,00000000fffc3fffc0000000
KOMATSU,PC200,8M0,C20184,2019-01-10T01:33:30+07:00,0.377933,101.033699,2019-01-09,113.0,00000000000000007000f020
KOMATSU,PC200,8M0,C20183,2019-01-10T01:31:00+07:00,0.379133,101.013666,2019-01-09,477.0,00000000000007fff8007fff
KOMATSU,PC200,8M0,C20182,2019-01-10T01:36:30+07:00,-1.9902,115.368766,2019-01-09,348.0,0000000001f07fffe0000000
KOMATSU,PC200,8M0,C20181,2019-01-10T01:12:30+07:00,-7.523866,112.723666,2019-01-09,290.0,00000000f00007ffe0000000
KOMATSU,PC200,8M0,C20180,2019-01-10T01:32:30+07:00,-0.967,119.873066,2019-01-09,554.0,00000018fffcff800007ff80
KOMATSU,PC200,8M0,C20179,2019-01-10T02:27:00+08:00,-0.462433,115.371533,2019-01-09,759.0,00000003fff03ffffc07fff0
KOMATSU,PC200,8M0,C20178,2019-01-02T01:17:30+07:00,0.288166,110.559033,2018-12-29,4.0,000000000000000000000000
KOMATSU,PC200,8M0,C20177,2018-12-15T01:09:29+07:00,-8.158366,127.790333,2018-12-14,392.0,0000007fff07dfc000000000
KOMATSU,PC200,8M0,C20176,2019-01-10T01:40:31+07:00,3.311667,117.6144,2019-01-09,261.0,000000007f801ff000000000
KOMATSU,PC200,8M0,C20175,2019-01-10T01:30:00+07:00,-2.034433,111.859,2019-01-09,595.0,fc000487ffffffc004040000
KOMATSU,PC200,8M0,C20174,2019-01-10T01:21:00+07:00,-1.614699,101.1263,2019-01-09,778.0,000000007ffffffffffff800
KOMATSU,PC200,8M0,C20173,2019-01-10T01:33:00+07:00,-6.358733,107.254466,2019-01-09,263.0,00000000fff0070000000000
